store,title,shortTitle,code,short_desc,description,expiry_date
Zomato,Best Prices on Veg & Non-Veg Buffets at Barbeque Nation,"GREAT
DEAL",& GET DEAL,,"['Avail best prices on veg/non veg buffets from Barbeque Nation.', 'Valid in select cities only.', 'No coupon code required.']",
SPAR India,Exclusive: Flat Rs. 60 Off on Orders of Rs. 999 & Above,"SAVE
₹60",DUNIA60,,"['Flat Rs. 60 off on orders of Rs. 999 and above.', 'Offer not valid on Edible Oil, Ghee, Organic Oil, Baby Food & Baby Products.', 'How to Redeem Coupon: 1. Click on Shop Now or Get Deal 2. Purchase from the landing page. 3. Apply coupon code at checkout.']",
KFC,Flat Rs. 50 Off on Orders above Rs. 299,"SAVE
₹50",FLAT50,,"['Get Flat Rs. 50 Off on Orders above Rs. 299.', 'Min cart value required : Rs. 299.', 'Valid for New & existing user.', 'Applicable on all payment methods.', 'How to Redeem Coupon: 1. Click on Shop Now 2. Purchase from the landing page. 3. Apply coupon code at checkout.']",
McDonald's,Exclusive: Get 1 McAloo Tiki Burger Free on orders above Rs. 199,"FREE
BURGER",CD199,,"['Get 1 McAloo Tiki Burger free on orders above Rs. 199.', 'Offer Valid on App, Web & Msite.', 'Offer Applicable on minimum spends of Rs. 199.', 'Offer applicable on regular and advance orders.', 'Offer can be redeemed by once per User per day.', 'How to Redeem Coupon: 1. Click on Shop Now or Get Deal 2. Purchase from the landing page. 3. Apply coupon code at checkout.']",
Swiggy,Domino's Pizzas Starting at Rs. 199,"PIZZA
@ 199",& GET DEAL,,"[""Get Domino's Pizzas starting at Rs. 199."", 'Valid in select areas only.', 'Valid for all users.', 'Valid on all payment methods.', 'How to avail Deal : 1. Click on Get Deal 2. Purchase discounted products from the landing page.']",
Domino's,Domino's Pizza Mania Offer: Regular Pizza Starting From Rs. 59,"PIZZA
MANIA",& GET DEAL,,"[""Order Regular Domino's Pizza Starting From Rs. 59."", 'No coupon code required.']",
Licious,Exclusive: Flat 20% Off + Free Delivery on your First Order,"20%
OFF",CD20,,"['Get flat 20% off + free delivery on your first order.', 'Valid for new users.', 'Minimum transaction value is Rs.399.', 'Max discount is Rs. 1000.', 'Coupon Applicable on both on Web & App.', 'Use coupon code to avail the offer.']",
ITC Store,Make Your Own Basket and Get Upto 20% Off,"20%
OFF",& GET DEAL,,['Make Your Own Basket and Get Upto 20% Off.'],
Domino's,Flat Rs.100 Off on Orders Above Rs.400,"₹100
OFF",GET100,,"['Get flat Rs. 100 off on orders above Rs. 400.', 'Valid for all users.', 'Coupon will not be applied at all if EDV or Combo offer is added in cart.', 'Offer not applicable on Sides and Pizza mania.', 'Use the coupon code to avail the offer.']",
Dineout,Super Saver Resturants: Upto 30% off on Your Bills,"30%
OFF",& GET DEAL,,"['Find the Dineout Super Saver Restaurants near you and get upto 30% off on your total bill.', 'Valid for select restaurants.', 'No coupon code required.']",
